COD_MUNIC7_tbProjPopTCU;COD_REG;COD_UF_tbProjPopTCU;COD_MUNIC_tbProjPopTCU;POPULACAO_ESTIMADA _tbProjPopTCU;AREA_MUN;DENSIDADE_POP;capital_tbMunLatLong;latitude_tbMunLatLong;longitude_tbMunLatLong;CENTRAL_DE_ABASTECIMENTO;CENTRAL_DE_GESTAO_EM_SAUDE;CENTRAL_DE_NOTIFICACAO_CAPTACAO_E_DISTRIB_DE_ORGAOS_ESTADUAL;CENTRAL_DE_REGULACAO_DE_SERVICOS_DE_SAUDE;CENTRAL_DE_REGULACAO_DO_ACESSO;CENTRAL_DE_REGULACAO_MEDICA_DAS_URGENCIAS;CENTRO_DE_APOIO_A_SAUDE_DA_FAMILIA;CENTRO_DE_ATENCAO_HEMOTERAPIA_E_OU_HEMATOLOGICA;CENTRO_DE_ATENCAO_PSICOSSOCIAL;CENTRO_DE_IMUNIZACAO;CENTRO_DE_PARTO_NORMAL_-_ISOLADO;CENTRO_DE_SAUDE_UNIDADE_BASICA;CLINICA_CENTRO_DE_ESPECIALIDADE;CONSULTORIO_ISOLADO;COOPERATIVA_OU_EMPRESA_DE_CESSAO_DE_TRABALHADORES_NA_SAUDE;FARMACIA;HOSPITAL_ESPECIALIZADO;HOSPITAL_GERAL;HOSPITAL_DIA_-_ISOLADO;LABORATORIO_CENTRAL_DE_SAUDE_PUBLICA_LACEN;LABORATORIO_DE_SAUDE_PUBLICA;OFICINA_ORTOPEDICA;POLICLINICA;POLO_ACADEMIA_DA_SAUDE;POLO_DE_PREVENCAO_DE_DOENCAS_E_AGRAVOS_E_PROMOCAO_DA_SAUDE;POSTO_DE_SAUDE;PRONTO_ATENDIMENTO;PRONTO_SOCORRO_ESPECIALIZADO;PRONTO_SOCORRO_GERAL;SERVICO_DE_ATENCAO_DOMICILIAR_ISOLADO_HOMECARE;TELESSAUDE;UNIDADE_DE_APOIO_DIAGNOSE_E_TERAPIA_ISOLADO;UNIDADE_DE_ATENCAO_A_SAUDE_INDIGENA;UNIDADE_DE_ATENCAO_EM_REGIME_RESIDENCIAL;UNIDADE_DE_VIGILANCIA_EM_SAUDE;UNIDADE_MISTA;UNIDADE_MOVEL_DE_NIVEL_PREHOSPITALAR_NA_AREA_DE_URGENCIA;UNIDADE_MOVEL_FLUVIAL;UNIDADE_MOVEL_TERRESTRE;QT_UNIDADES_BASICAS;QT_EXIST_LEITOS_rlEstabComplementar
1100015;1;11;15;22945;7067.025;3.2467693265553748;0;-11.9283;-61.9953;0;1;0;0;0;0;0;1;1;0;0;4;1;7;0;1;0;2;0;0;0;0;0;1;0;6;0;0;0;0;0;5;7;0;1;0;0;0;0;38;51.0
1100023;1;11;23;107863;4426.571;24.367168175998984;0;-9.905710000000001;-63.0325;0;3;0;0;1;1;2;1;1;0;1;13;42;36;0;2;1;9;0;0;0;0;1;0;0;0;1;0;0;1;0;16;0;0;5;0;8;0;0;145;317.0
1100031;1;11;31;5312;1314.352;4.041535296480698;0;-13.4945;-60.552;0;1;0;0;0;0;1;0;0;0;0;3;0;3;0;1;0;0;0;0;1;0;0;1;0;5;0;0;0;0;0;0;0;0;1;1;0;0;0;18;9.0
1100049;1;11;49;85359;3792.892;22.50499091458444;0;-11.4343;-61.4562;0;2;0;0;0;0;0;1;1;0;0;12;42;207;0;42;0;9;0;0;0;0;5;0;0;1;0;0;1;2;0;18;15;0;2;0;0;0;2;362;469.0
1100056;1;11;56;16323;2783.3;5.864621133187224;0;-13.187000000000001;-60.8168;0;1;0;0;0;0;0;0;1;0;0;5;4;9;0;6;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;1;0;0;0;0;34;42.0
1100064;1;11;64;15882;1451.06;10.945102201149504;0;-13.1174;-60.5454;0;1;0;0;0;0;0;0;1;0;0;4;2;6;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;1;0;0;0;0;22;50.0
1100072;1;11;72;7391;3060.321;2.4151061277558794;0;-12.9551;-60.8947;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;2;1;0;0;0;13;16.0
1100080;1;11;80;18331;4987.177;3.67562651175204;0;-12.4367;-64.22800000000001;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;4;0;0;1;1;0;0;0;15;45.0
1100098;1;11;98;32374;4518.027;7.16551716047735;0;-11.5266;-61.0252;0;1;0;0;0;0;0;1;1;0;0;2;6;13;0;0;0;3;0;0;0;0;0;0;0;9;0;0;0;0;0;5;6;0;2;0;0;0;0;49;55.0
1100106;1;11;106;46174;24855.724;1.8576807499149892;0;-10.7889;-65.3296;0;1;0;0;0;0;0;1;1;0;0;7;0;15;0;0;0;2;0;1;0;0;0;0;1;12;0;0;0;0;0;9;5;0;2;0;0;0;3;60;97.0
1100114;1;11;114;51775;2944.128;17.58585224555454;0;-10.4318;-62.4788;0;1;0;0;1;0;0;0;1;0;0;10;20;81;0;24;0;3;0;0;1;0;0;1;0;3;0;0;0;0;0;18;4;0;4;0;0;0;1;173;138.0
1100122;1;11;122;128969;6896.649;18.700241233097405;0;-10.8777;-61.9322;1;2;0;0;1;0;2;1;2;0;0;16;33;250;1;68;1;7;1;0;0;1;4;2;0;5;0;0;0;2;0;38;7;0;7;0;0;0;2;454;330.0
1100130;1;11;130;39991;8509.27;4.699698093961056;0;-9.44363;-61.9818;0;1;0;0;0;0;0;1;1;0;0;7;3;5;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;29;48.0
1100148;1;11;148;20474;1703.0079999999996;12.02225708863376;0;-11.7247;-62.3127;0;1;0;0;0;0;0;0;0;0;0;4;4;9;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;1;0;0;0;0;26;44.0
1100155;1;11;155;36035;1969.85;18.29327106124832;0;-10.7167;-62.2565;0;2;0;0;1;0;0;0;1;0;0;3;18;11;0;2;0;4;0;0;0;0;0;0;0;13;0;0;0;0;0;10;0;0;2;0;0;0;0;67;89.0
1100189;1;11;189;36660;6240.94;5.874115117274001;0;-11.672;-61.198;0;2;0;0;1;0;0;0;1;0;0;6;9;86;0;13;0;2;0;0;1;0;2;0;0;2;0;0;0;0;0;9;0;0;6;0;0;0;0;140;58.0
1100205;1;11;205;529544;34090.954;15.533270204172053;1;-8.760769999999999;-63.8999;0;18;1;0;4;1;0;2;4;0;0;48;180;637;2;44;6;14;3;1;1;0;4;0;0;21;4;0;0;2;1;93;6;0;4;0;11;2;6;1120;2324.0
